Date,BusinessUnit,Revenue,COGS,MarketingExpense,PayrollExpense,OtherOpex,OperatingExpenses,TotalExpenses,OperatingProfit,AccountsReceivable,AccountsPayable,Inventory,CashAndEquivalents,TotalDebt,NetCashFlow,BudgetRevenue,BudgetExpenses
2020-01-01,Retail & E-commerce,537897.76,246658.13,59132.67,109585.21,29412.55,198130.43,444788.56,93109.19,397505.7,138527.33,141393.13,1274329.68,900000,74329.68,530000.0,397500.0
2020-02-01,Retail & E-commerce,547452.7,226944.32,48816.48,112023.68,32369.38,193209.54,420153.87,127298.83,455036.72,144424.87,103996.29,1419726.76,900000,145397.08,555273.29,416454.97
2020-03-01,Retail & E-commerce,551301.75,240635.27,65747.58,106556.51,30867.5,203171.6,443806.87,107494.87,456785.81,160860.57,98489.63,1544543.2,900000,124816.44,566740.16,425055.12
2020-04-01,Retail & E-commerce,551830.58,250938.69,56290.93,110317.2,29611.86,196219.99,447158.68,104671.9,454594.84,139742.16,146012.21,1595279.04,900000,50735.84,561956.56,421467.42
2020-05-01,Retail & E-commerce,546236.29,242385.16,48747.61,105713.56,43200.48,197661.66,440046.82,106189.47,488216.82,178855.96,140332.64,1668006.51,900000,72727.47,542834.94,407126.2
2020-06-01,Retail & E-commerce,513393.69,221321.03,48036.94,111091.0,38433.74,197561.68,418882.71,94510.98,405164.31,134161.91,112550.42,1691462.66,900000,23456.15,515181.08,386385.81
2020-07-01,Retail & E-commerce,477282.44,191123.82,57642.87,114232.52,33985.24,205860.62,396984.45,80297.99,421083.29,134599.73,79279.87,1767184.88,900000,75722.22,487175.84,365381.88
2020-08-01,Retail & E-commerce,471841.19,201226.98,39246.77,115728.75,27994.09,182969.61,384196.59,87644.6,368647.55,140038.13,106149.54,1878984.16,900000,111799.28,467198.22,350398.66
2020-09-01,Retail & E-commerce,466576.48,215027.74,50420.06,111272.85,34120.28,195813.18,410840.93,55735.56,384201.89,140745.67,104397.73,1901540.39,900000,22556.24,461568.88,346176.66
2020-10-01,Retail & E-commerce,474056.15,201544.25,49979.04,112718.73,36609.93,199307.71,400851.96,73204.19,361383.93,127391.4,111073.1,1960785.36,900000,59244.96,472821.41,354616.06
2020-11-01,Retail & E-commerce,486871.2,230959.92,58622.22,112519.5,33595.14,204736.86,435696.79,51174.41,446882.11,164151.16,101002.01,2034162.57,900000,73377.21,498973.71,374230.28
2020-12-01,Retail & E-commerce,522760.98,218636.84,52984.64,113452.27,38966.83,205403.75,424040.59,98720.39,478421.77,120554.26,109788.37,2126386.7,900000,92224.13,534008.04,400506.03
2021-01-01,Retail & E-commerce,563590.1,267949.21,54194.91,112440.4,36951.06,203586.37,471535.57,92054.53,493566.7,166858.92,159257.33,2271732.77,900000,145346.08,569444.81,427083.61
2021-02-01,Retail & E-commerce,562256.93,237715.06,46017.55,115181.14,38394.8,199593.49,437308.54,124948.39,464238.55,133190.74,108333.71,2442494.87,900000,170762.09,596599.05,447449.28
2021-03-01,Retail & E-commerce,608285.22,291278.62,56024.75,112169.58,42679.76,210874.1,502152.72,106132.51,541620.15,174046.99,158934.22,2504716.16,900000,62221.29,608919.32,456689.49
2021-04-01,Retail & E-commerce,614409.68,250201.87,74813.67,122663.42,36633.2,234110.28,484312.15,130097.54,458736.47,139651.43,129649.25,2673138.83,900000,168422.67,603779.71,452834.78
2021-05-01,Retail & E-commerce,556102.94,251143.78,49336.52,116715.67,39332.12,205384.31,456528.09,99574.86,443038.23,185179.86,107365.02,2765114.07,900000,91975.25,583234.98,437426.23
2021-06-01,Retail & E-commerce,567032.02,263884.1,61103.39,113236.82,37361.47,211701.68,475585.78,91446.24,431206.91,150049.92,152905.84,2876013.15,900000,110899.08,553523.01,415142.25
2021-07-01,Retail & E-commerce,504009.65,230874.95,62928.38,113388.99,38613.49,214930.86,445805.82,58203.84,451072.96,156627.03,96235.14,2859401.5,900000,-16611.65,523433.5,392575.12
2021-08-01,Retail & E-commerce,506382.45,202758.03,44582.12,115629.77,33655.2,193867.08,396625.11,109757.34,442058.62,137954.99,90197.69,2990876.16,900000,131474.66,501969.05,376476.79
2021-09-01,Retail & E-commerce,513157.91,231932.31,62841.92,115734.76,35781.67,214358.35,446290.65,66867.26,432118.55,131908.01,109829.96,3036283.39,900000,45407.23,495920.76,371940.57
2021-10-01,Retail & E-commerce,506835.7,238903.96,56541.04,119645.77,37426.95,213613.75,452517.72,54317.98,418473.6,158962.1,119094.47,3030580.66,900000,-5702.73,508010.75,381008.07
2021-11-01,Retail & E-commerce,518885.95,246593.64,66259.88,120496.77,40185.61,226942.26,473535.9,45350.05,411237.7,136388.8,144420.95,3021225.29,900000,-9355.37,536109.41,402082.06
2021-12-01,Retail & E-commerce,559175.67,261745.06,53594.81,114933.39,30802.07,199330.27,461075.33,98100.34,469260.4,192966.56,141134.5,3138588.83,900000,117363.54,573751.14,430313.35
2022-01-01,Retail & E-commerce,612893.67,288176.38,71732.11,116479.14,43460.58,231671.83,519848.22,93045.46,536662.58,179216.38,132191.8,3227725.12,900000,89136.29,611825.26,458868.95
2022-02-01,Retail & E-commerce,650904.81,301931.06,73225.62,131897.92,46252.65,251376.18,553307.24,97597.57,585129.68,219806.13,141182.67,3324111.31,900000,96386.19,641000.43,480750.33
2022-03-01,Retail & E-commerce,644711.35,281898.64,69069.37,121018.57,37777.66,227865.59,509764.24,134947.11,546527.17,156763.85,114865.14,3491854.28,900000,167742.97,654237.64,490678.23
2022-04-01,Retail & E-commerce,649966.5,300024.2,59011.14,117974.49,44644.06,221629.7,521653.9,128312.6,468844.8,168114.46,151893.53,3595238.57,900000,103384.29,648715.51,486536.64
2022-05-01,Retail & E-commerce,588570.59,272870.09,55055.84,122203.44,37179.5,214438.78,487308.87,101261.72,423543.69,151462.04,161683.63,3704479.08,900000,109240.52,626641.75,469981.32
2022-06-01,Retail & E-commerce,573303.34,236496.21,53037.52,121078.49,38111.37,212227.38,448723.59,124579.75,503732.4,161299.75,107839.14,3847754.42,900000,143275.34,594718.5,446038.87
2022-07-01,Retail & E-commerce,598193.96,259357.76,55265.08,125618.88,36297.92,217181.88,476539.64,121654.32,532070.51,143393.38,109763.97,3929925.98,900000,82171.55,562389.6,421792.2
2022-08-01,Retail & E-commerce,546508.61,239334.65,46394.05,125286.47,35385.6,207066.12,446400.77,100107.84,447245.12,139924.7,116501.01,3995017.46,900000,65091.49,539327.68,404495.76
2022-09-01,Retail & E-commerce,525795.2,226075.64,58517.32,123797.45,34226.16,216540.93,442616.57,83178.62,480641.2,154124.52,97797.36,4008357.59,900000,13340.13,532829.25,399621.94
2022-10-01,Retail & E-commerce,546962.01,259926.42,59495.09,122693.55,33717.53,215906.16,475832.58,71129.43,470836.96,166781.94,132334.61,4120457.04,900000,112099.45,545819.03,409364.27
2022-11-01,Retail & E-commerce,580864.53,235653.89,55733.24,122427.25,43765.97,221926.46,457580.35,123284.18,409984.63,167996.17,107545.59,4168275.14,900000,47818.1,576008.91,432006.68
2022-12-01,Retail & E-commerce,633088.9,290464.78,76080.85,125664.71,37011.03,238756.6,529221.38,103867.51,471245.98,203361.06,163057.33,4322762.1,900000,154486.97,616452.09,462339.07
2023-01-01,Retail & E-commerce,682556.42,291631.98,86369.23,123417.17,51705.27,261491.68,553123.66,129432.76,550992.65,204193.19,160662.56,4344317.83,900000,21555.73,657359.85,493019.89
2023-02-01,Retail & E-commerce,715679.1,304595.87,89299.69,125705.59,44140.26,259145.54,563741.41,151937.7,502914.44,222682.85,127399.46,4410644.64,900000,66326.8,688706.36,516529.77
2023-03-01,Retail & E-commerce,704974.17,317623.98,72205.06,127880.36,41449.89,241535.31,559159.29,145814.88,551406.92,217414.79,174844.03,4552009.53,900000,141364.89,702928.73,527196.55
2023-04-01,Retail & E-commerce,696739.55,281904.1,74883.09,123857.07,44065.93,242806.09,524710.18,172029.36,642342.34,174832.13,119361.97,4631988.71,900000,79979.19,696995.63,522746.72
2023-05-01,Retail & E-commerce,656671.53,267087.06,75549.05,127735.47,34267.02,320694.57,504638.59,152032.94,832430.34,184623.51,111180.26,4672442.43,900000,40453.71,673279.05,504959.28
2023-06-01,Retail & E-commerce,611221.02,284232.42,77846.59,123239.23,48640.99,337131.2,533959.24,77261.78,760164.8,177716.87,118439.69,4761693.92,900000,89251.49,638979.92,479234.94
2023-07-01,Retail & E-commerce,619792.07,253430.37,64849.62,127440.67,31200.71,301712.85,476921.38,142870.7,709061.48,142240.5,107394.56,4827412.97,900000,65719.05,604244.98,453183.73
2023-08-01,Retail & E-commerce,588495.02,280696.71,58110.07,132979.22,34468.96,225558.25,506254.95,82240.07,539738.08,166935.71,166353.36,4799783.95,900000,-27629.02,579466.7,434600.02
2023-09-01,Retail & E-commerce,576333.31,233935.84,62066.9,128880.95,45575.91,236523.75,470459.59,105873.72,478803.0,158112.49,126126.45,4874360.96,900000,74577.01,572484.63,429363.47
2023-10-01,Retail & E-commerce,601788.1,242903.17,56597.06,129857.03,47247.79,233701.89,476605.06,125183.04,555189.21,155732.84,127287.7,4976872.31,900000,102511.35,586441.16,439830.87
2023-11-01,Retail & E-commerce,579444.93,258833.7,48607.74,128195.25,45910.49,222713.48,481547.18,97897.76,548475.16,178500.09,131285.44,5013096.78,900000,36224.47,618877.9,464158.42
2023-12-01,Retail & E-commerce,644479.59,304757.75,78063.79,131715.45,50587.78,260367.02,565124.77,79354.82,568063.56,205005.37,147395.66,5099101.91,900000,86005.12,662331.02,496748.27
2024-01-01,Retail & E-commerce,731273.88,350267.09,64001.71,129301.03,49597.86,242900.6,593167.69,138106.19,581525.6,260592.72,199100.15,5267741.31,900000,168639.41,706283.31,529712.48
2024-02-01,Retail & E-commerce,704568.24,285004.93,86828.26,129380.98,52410.74,268619.98,553624.9,150943.34,669290.1,213561.99,145662.13,5398265.85,900000,130524.54,739962.75,554972.07
2024-03-01,Retail & E-commerce,745046.34,324872.64,64415.2,133519.9,58576.68,256511.78,581384.42,163661.93,634439.49,193535.91,173592.49,5569181.57,900000,170915.72,755243.62,566432.71
2024-04-01,Retail & E-commerce,756334.74,334016.04,89713.34,129879.84,49619.27,269212.44,603228.48,153106.25,690567.93,220577.97,171078.87,5765260.33,900000,196078.75,748868.95,561651.71
2024-05-01,Retail & E-commerce,737392.98,336491.87,66843.35,136706.84,39886.43,243436.62,579928.49,157464.49,518856.37,208664.5,174297.25,5889900.69,900000,124640.36,723387.28,542540.46
2024-06-01,Retail & E-commerce,680986.75,300396.3,81161.81,135230.94,42150.55,258543.29,558939.6,122047.16,582598.93,217028.14,177205.02,5908038.84,900000,18138.15,686535.47,514901.61
2024-07-01,Retail & E-commerce,616039.54,269043.48,79470.1,133390.75,39906.14,252767.0,521810.48,94229.07,481858.68,182056.39,120539.31,5961302.36,900000,53263.53,649215.41,486911.55
2024-08-01,Retail & E-commerce,629440.27,260934.72,61234.07,131218.56,48406.26,240858.88,501793.6,127646.67,515190.82,178351.89,113366.74,6065843.1,900000,104540.74,622593.02,466944.77
2024-09-01,Retail & E-commerce,605306.61,250694.29,51109.14,132142.12,32455.98,215707.24,466401.53,138905.08,493442.74,148227.2,118541.79,6173236.52,900000,107393.42,615091.32,461318.49
2024-10-01,Retail & E-commerce,616859.93,289854.02,77751.26,135646.95,31973.29,245371.5,535225.52,81634.4,474500.63,206155.85,159318.82,6221821.85,900000,48585.33,630086.55,472564.92
2024-11-01,Retail & E-commerce,659450.6,296396.92,64920.06,128585.26,42123.09,235628.42,532025.34,127425.26,584845.46,165192.86,133523.07,6326174.91,900000,104353.06,664937.37,498703.03
2024-12-01,Retail & E-commerce,777354.67,317606.72,79578.28,139337.52,51288.71,270204.51,587811.23,189543.44,591269.66,191786.39,151008.28,6432618.49,900000,106443.59,711624.46,533718.34
2020-01-01,Enterprise Solutions,831551.19,340587.54,103550.05,172755.36,56385.63,332691.04,673278.58,158272.61,723262.91,241079.53,170187.66,1261080.17,900000,61080.17,848000.0,636000.0
2020-02-01,Enterprise Solutions,931803.75,404899.26,80488.29,178567.13,54522.89,313578.31,718477.57,213326.18,736842.99,275000.88,208181.25,1366527.64,900000,105447.47,891086.68,668315.01
