Date,Revenue,OperatingProfit,Cash,Debt,Company,CIK
2017-09-30,117413000000,1979000000,12767000000.0,24710000000.0,Amazon,0001018724
2018-03-31,51042000000,1927000000,16676000000.0,24640000000.0,Amazon,0001018724
2018-06-30,103928000000,4911000000,19823000000.0,24638000000.0,Amazon,0001018724
2018-09-30,160504000000,8635000000,20425000000.0,24684000000.0,Amazon,0001018724
2019-03-31,59700000000,4420000000,23115000000.0,23322000000.0,Amazon,0001018724
2019-06-30,123104000000,7504000000,22616000000.0,23329000000.0,Amazon,0001018724
2019-09-30,193086000000,10662000000,23255000000.0,22472000000.0,Amazon,0001018724
2020-03-31,75452000000,3989000000,27201000000.0,23437000000.0,Amazon,0001018724
2020-06-30,164364000000,9832000000,37466000000.0,33128000000.0,Amazon,0001018724
2020-09-30,260509000000,16026000000,29930000000.0,32929000000.0,Amazon,0001018724
2021-03-31,108518000000,8865000000,33834000000.0,31868000000.0,Amazon,0001018724
2021-06-30,221598000000,16567000000,40380000000.0,50279000000.0,Amazon,0001018724
2021-09-30,332410000000,21419000000,29944000000.0,50055000000.0,Amazon,0001018724
2022-03-31,116444000000,3669000000,36393000000.0,47556000000.0,Amazon,0001018724
2022-06-30,237678000000,6986000000,37478000000.0,58053000000.0,Amazon,0001018724
2022-09-30,364779000000,9511000000,34947000000.0,58919000000.0,Amazon,0001018724
2023-03-31,127358000000,4774000000,49343000000.0,67084000000.0,Amazon,0001018724
2023-06-30,261741000000,12455000000,49529000000.0,63092000000.0,Amazon,0001018724
2023-09-30,404824000000,23643000000,49605000000.0,61098000000.0,Amazon,0001018724
2024-03-31,143313000000,15307000000,72852000000.0,57634000000.0,Amazon,0001018724
2024-06-30,291290000000,29979000000,71178000000.0,54889000000.0,Amazon,0001018724
2024-09-30,450167000000,47390000000,75091000000.0,54890000000.0,Amazon,0001018724
2025-03-31,155667000000,18405000000,66207000000.0,53374000000.0,Amazon,0001018724
2025-06-30,323369000000,37576000000,57741000000.0,50718000000.0,Amazon,0001018724
2025-09-30,503538000000,54998000000,66922000000.0,50742000000.0,Amazon,0001018724
2026-03-31,181519000000,23852000000,101816000000.0,119074000000.0,Amazon,0001018724
2026-06-30,382125000000,51313000000,78213000000.0,128894000000.0,Amazon,0001018724
2017-12-30,88293000000,26274000000,27491000000.0,103922000000.0,Apple,0000320193
2018-03-31,149430000000,42168000000,45059000000.0,101362000000.0,Apple,0000320193
2018-06-30,202695000000,54780000000,31971000000.0,97128000000.0,Apple,0000320193
2018-12-29,84310000000,23346000000,44771000000.0,92989000000.0,Apple,0000320193
2019-03-30,142325000000,36761000000,37988000000.0,90201000000.0,Apple,0000320193
2019-06-29,196134000000,48305000000,50530000000.0,84936000000.0,Apple,0000320193
2019-12-28,91819000000,25569000000,39771000000.0,93078000000.0,Apple,0000320193
2020-03-28,150132000000,38422000000,40174000000.0,89086000000.0,Apple,0000320193
2020-06-27,209817000000,51513000000,33383000000.0,94048000000.0,Apple,0000320193
2020-12-26,111439000000,33534000000,36010000000.0,99281000000.0,Apple,0000320193
2021-03-27,201023000000,61037000000,38466000000.0,108642000000.0,Apple,0000320193
2021-06-26,282457000000,85163000000,34050000000.0,105752000000.0,Apple,0000320193
2021-12-25,123945000000,41488000000,37119000000.0,106629000000.0,Apple,0000320193
2022-03-26,221223000000,71467000000,28098000000.0,103323000000.0,Apple,0000320193
2022-06-25,304182000000,94543000000,27502000000.0,94700000000.0,Apple,0000320193
2022-12-31,117154000000,36016000000,20535000000.0,99627000000.0,Apple,0000320193
2023-04-01,211990000000,64334000000,24687000000.0,97041000000.0,Apple,0000320193
2023-07-01,293787000000,87332000000,28408000000.0,98071000000.0,Apple,0000320193
2023-12-30,119575000000,40373000000,40760000000.0,95088000000.0,Apple,0000320193
2024-03-30,210328000000,68273000000,32695000000.0,91831000000.0,Apple,0000320193
2024-06-29,296105000000,93625000000,25565000000.0,86196000000.0,Apple,0000320193
2024-12-28,124300000000,42832000000,30299000000.0,83956000000.0,Apple,0000320193
2025-03-29,219659000000,72421000000,28162000000.0,78566000000.0,Apple,0000320193
2025-06-28,313695000000,100623000000,36269000000.0,82430000000.0,Apple,0000320193
2025-12-27,143756000000,50852000000,45317000000.0,76685000000.0,Apple,0000320193
2026-03-28,254940000000,86737000000,45572000000.0,74404000000.0,Apple,0000320193
2026-06-27,364357000000,122432000000,39544000000.0,71340000000.0,Apple,0000320193
2008-09-30,38401000000,3991000000,2138000000.0,0.0,Caterpillar,0000018230
2009-03-31,9225000000,-175000000,3566000000.0,0.0,Caterpillar,0000018230
2009-09-30,24498000000,449000000,4188000000.0,0.0,Caterpillar,0000018230
2010-03-31,8238000000,508000000,3538000000.0,0.0,Caterpillar,0000018230
2010-06-30,18647000000,1485000000,,0.0,Caterpillar,0000018230
2010-09-30,29781000000,2672000000,,0.0,Caterpillar,0000018230
2011-03-31,12949000000,1833000000,,0.0,Caterpillar,0000018230
2011-06-30,27179000000,3434000000,,0.0,Caterpillar,0000018230
2011-09-30,42895000000,5193000000,,0.0,Caterpillar,0000018230
2012-03-31,15981000000,2323000000,,0.0,Caterpillar,0000018230
2012-06-30,33355000000,4939000000,,0.0,Caterpillar,0000018230
2012-09-30,49800000000,7535000000,,0.0,Caterpillar,0000018230
2013-03-31,13210000000,1218000000,,0.0,Caterpillar,0000018230
2013-06-30,27831000000,2775000000,,0.0,Caterpillar,0000018230
2013-09-30,41254000000,4176000000,,0.0,Caterpillar,0000018230
2014-03-31,13241000000,1398000000,,0.0,Caterpillar,0000018230
2014-06-30,27391000000,2873000000,,0.0,Caterpillar,0000018230
2014-09-30,40940000000,4265000000,,0.0,Caterpillar,0000018230
2015-03-31,12702000000,1527000000,,0.0,Caterpillar,0000018230
2015-06-30,25019000000,2657000000,,0.0,Caterpillar,0000018230
2015-09-30,35981000000,3370000000,,0.0,Caterpillar,0000018230
2016-03-31,9461000000,494000000,,0.0,Caterpillar,0000018230
2016-06-30,19803000000,1279000000,,0.0,Caterpillar,0000018230
2016-09-30,28963000000,1760000000,,0.0,Caterpillar,0000018230
2017-03-31,9822000000,417000000,,0.0,Caterpillar,0000018230
2017-06-30,21153000000,1668000000,,0.0,Caterpillar,0000018230
2017-09-30,32566000000,3245000000,,0.0,Caterpillar,0000018230
2018-03-31,12859000000,2108000000,,0.0,Caterpillar,0000018230
2018-06-30,26870000000,4275000000,,0.0,Caterpillar,0000018230
2018-09-30,40380000000,6410000000,,0.0,Caterpillar,0000018230
2019-03-31,13466000000,2207000000,,0.0,Caterpillar,0000018230
2019-06-30,27898000000,4420000000,,0.0,Caterpillar,0000018230
2019-09-30,40656000000,6440000000,,0.0,Caterpillar,0000018230
2020-03-31,10635000000,1404000000,,0.0,Caterpillar,0000018230
2020-06-30,20632000000,2188000000,,0.0,Caterpillar,0000018230
2020-09-30,30513000000,3173000000,,0.0,Caterpillar,0000018230
2021-03-31,11887000000,1814000000,,0.0,Caterpillar,0000018230
2021-06-30,24776000000,3603000000,,0.0,Caterpillar,0000018230
2021-09-30,37173000000,5267000000,9446000000.0,0.0,Caterpillar,0000018230
2022-03-31,13589000000,1855000000,6526000000.0,0.0,Caterpillar,0000018230
2022-06-30,27836000000,3799000000,6014000000.0,0.0,Caterpillar,0000018230
2022-09-30,42830000000,6224000000,6346000000.0,0.0,Caterpillar,0000018230
2023-03-31,15862000000,2731000000,6789000000.0,0.0,Caterpillar,0000018230
2023-06-30,33180000000,6383000000,7387000000.0,0.0,Caterpillar,0000018230
2023-09-30,49990000000,9832000000,6545000000.0,0.0,Caterpillar,0000018230
2024-03-31,15799000000,3519000000,4959000000.0,0.0,Caterpillar,0000018230
2024-06-30,32488000000,7001000000,4341000000.0,0.0,Caterpillar,0000018230
2024-09-30,48594000000,10148000000,5638000000.0,0.0,Caterpillar,0000018230
2025-03-31,14249000000,2579000000,3562000000.0,0.0,Caterpillar,0000018230
2025-06-30,30818000000,5439000000,5442000000.0,0.0,Caterpillar,0000018230
2025-09-30,48456000000,8491000000,7538000000.0,0.0,Caterpillar,0000018230
2026-03-31,17415000000,3085000000,4072000000.0,0.0,Caterpillar,0000018230
2026-06-30,37958000000,7380000000,6713000000.0,0.0,Caterpillar,0000018230
2018-09-30,118545000000,2571000000,18562000000.0,0.0,Ford,0000037996
2019-03-31,40342000000,1202000000,20848000000.0,0.0,Ford,0000037996
2019-06-30,79195000000,1292000000,22117000000.0,0.0,Ford,0000037996
2019-09-30,116185000000,1031000000,20523000000.0,0.0,Ford,0000037996
2020-03-31,34320000000,-1558000000,25971000000.0,0.0,Ford,0000037996
2020-06-30,53691000000,-4317000000,30989000000.0,0.0,Ford,0000037996
2020-09-30,91192000000,-1966000000,24263000000.0,0.0,Ford,0000037996
2021-03-31,36228000000,2464000000,21826000000.0,0.0,Ford,0000037996
2021-06-30,62980000000,2442000000,22955000000.0,0.0,Ford,0000037996
2021-09-30,98663000000,3784000000,27429000000.0,0.0,Ford,0000037996
2022-03-31,34476000000,1343000000,21013000000.0,0.0,Ford,0000037996
2022-06-30,74666000000,4211000000,19516000000.0,0.0,Ford,0000037996
2022-09-30,114058000000,4715000000,21548000000.0,0.0,Ford,0000037996
2017-09-30,45708000000,12541000000,9075000000.0,27498000000.0,Intel,0000050863
2018-03-31,16066000000,4470000000,3554000000.0,24770000000.0,Intel,0000050863
2018-06-30,33028000000,9743000000,2614000000.0,24632000000.0,Intel,0000050863
2018-09-29,52191000000,17092000000,3407000000.0,24823000000.0,Intel,0000050863
2019-03-30,16061000000,4174000000,3154000000.0,25737000000.0,Intel,0000050863
2019-06-29,32566000000,8791000000,2867000000.0,25089000000.0,Intel,0000050863
2019-09-28,51756000000,15238000000,3935000000.0,23707000000.0,Intel,0000050863
2020-03-28,19828000000,7038000000,11380000000.0,36455000000.0,Intel,0000050863
2020-06-27,39556000000,12735000000,8736000000.0,36093000000.0,Intel,0000050863
2020-09-26,57889000000,17794000000,3356000000.0,36059000000.0,Intel,0000050863
2021-03-27,19673000000,3694000000,5192000000.0,33237000000.0,Intel,0000050863
2021-06-26,39304000000,9240000000,4746000000.0,31714000000.0,Intel,0000050863
2021-09-25,58496000000,14467000000,7870000000.0,35610000000.0,Intel,0000050863
2022-04-02,18353000000,4341000000,,32788000000.0,Intel,0000050863
2022-07-02,33674000000,3641000000,,32548000000.0,Intel,0000050863
2022-10-01,49012000000,3466000000,,37240000000.0,Intel,0000050863
2023-04-01,11715000000,-1468000000,,48836000000.0,Intel,0000050863
2023-07-01,24664000000,-2484000000,,46335000000.0,Intel,0000050863
2023-09-30,38822000000,-2492000000,,46591000000.0,Intel,0000050863
2024-03-30,12724000000,-1069000000,,47869000000.0,Intel,0000050863
2024-06-29,25557000000,-3033000000,,48334000000.0,Intel,0000050863
2024-09-28,38841000000,-12090000000,,46471000000.0,Intel,0000050863
2025-03-29,12667000000,-301000000,,44911000000.0,Intel,0000050863
2025-06-28,25526000000,-3477000000,9643000000.0,44026000000.0,Intel,0000050863
2025-09-27,39179000000,-2794000000,11141000000.0,44057000000.0,Intel,0000050863
2026-03-28,13577000000,-3136000000,17247000000.0,43027000000.0,Intel,0000050863
2026-06-27,29705000000,-1340000000,12874000000.0,48549000000.0,Intel,0000050863
2008-09-30,15061000000,5999000000,9004000000.0,,Microsoft,0000789019
2008-12-31,31690000000,11938000000,8346000000.0,,Microsoft,0000789019
2009-03-31,45338000000,16376000000,7285000000.0,,Microsoft,0000789019
2009-09-30,12920000000,4482000000,8823000000.0,3746000000.0,Microsoft,0000789019
2009-12-31,31942000000,12995000000,9422000000.0,3746000000.0,Microsoft,0000789019
2010-03-31,46445000000,18168000000,8155000000.0,3746000000.0,Microsoft,0000789019
2010-09-30,16195000000,7116000000,8161000000.0,9665000000.0,Microsoft,0000789019
2010-12-31,36148000000,15281000000,4023000000.0,9671000000.0,Microsoft,0000789019
2010-07-31,31124000000,2465000000,,1000000000.0,Target,0000027419
2010-10-30,46729000000,3411000000,,,Target,0000027419
2011-04-30,15935000000,1245000000,,,Target,0000027419
2011-07-30,32175000000,2527000000,,,Target,0000027419
2011-10-29,48577000000,3567000000,,,Target,0000027419
2012-04-28,16867000000,1283000000,,,Target,0000027419
2012-07-28,33646000000,2534000000,,,Target,0000027419
2012-10-27,50575000000,3539000000,,,Target,0000027419
2013-05-04,16706000000,1034000000,,,Target,0000027419
2013-08-03,33823000000,2194000000,,,Target,0000027419
2013-11-02,51081000000,2934000000,,,Target,0000027419
2008-07-31,197282000000,11130000000,6903000000.0,34168000000.0,Walmart,0000104169
2008-10-31,295627000000,16421000000,5920000000.0,30803000000.0,Walmart,0000104169
2009-04-30,94242000000,5217000000,6578000000.0,32480000000.0,Walmart,0000104169
2009-07-31,195152000000,11099000000,7997000000.0,33579000000.0,Walmart,0000104169
2009-10-31,294563000000,16692000000,6003000000.0,34394000000.0,Walmart,0000104169
2010-04-30,99848000000,5772000000,8516000000.0,32668000000.0,Walmart,0000104169
2010-07-31,203537000000,11927000000,10195000000.0,35629000000.0,Walmart,0000104169
2010-10-31,305489000000,17538000000,10616000000.0,40803000000.0,Walmart,0000104169
2011-04-30,104189000000,5896000000,9400000000.0,45486000000.0,Walmart,0000104169
2011-07-31,213555000000,12279000000,8102000000.0,45238000000.0,Walmart,0000104169
2011-10-31,323781000000,18157000000,7063000000.0,44872000000.0,Walmart,0000104169
2012-04-30,113018000000,6387000000,8117000000.0,42956000000.0,Walmart,0000104169
2012-07-31,227314000000,13085000000,7935000000.0,41202000000.0,Walmart,0000104169
2012-10-31,341243000000,19201000000,8643000000.0,38872000000.0,Walmart,0000104169
2013-04-30,114187000000,6456000000,8855000000.0,41536000000.0,Walmart,0000104169
2013-07-31,231132000000,13249000000,9016000000.0,40678000000.0,Walmart,0000104169
2013-10-31,346588000000,19525000000,8736000000.0,41702000000.0,Walmart,0000104169
2014-04-30,114960000000,6193000000,6012000000.0,45699000000.0,Walmart,0000104169
2014-07-31,235085000000,12933000000,6184000000.0,43004000000.0,Walmart,0000104169
2014-10-31,354086000000,19198000000,6718000000.0,41720000000.0,Walmart,0000104169
2015-04-30,114826000000,5680000000,7759000000.0,38867000000.0,Walmart,0000104169
2015-07-31,235055000000,11749000000,5751000000.0,38581000000.0,Walmart,0000104169
2015-10-31,352463000000,17463000000,6990000000.0,38617000000.0,Walmart,0000104169
2016-04-30,115904000000,5275000000,7597000000.0,37151000000.0,Walmart,0000104169
2016-07-31,236758000000,11440000000,7676000000.0,36673000000.0,Walmart,0000104169
2016-10-31,354937000000,16559000000,5939000000.0,36178000000.0,Walmart,0000104169
2017-04-30,117542000000,5237000000,6545000000.0,33774000000.0,Walmart,0000104169
2017-07-31,240897000000,11206000000,6469000000.0,33706000000.0,Walmart,0000104169
2017-10-31,364076000000,15970000000,7026000000.0,34206000000.0,Walmart,0000104169
2018-04-30,122690000000,5154000000,7885000000.0,29477000000.0,Walmart,0000104169
2018-07-31,250718000000,10904000000,15840000000.0,44958000000.0,Walmart,0000104169
2018-10-31,375612000000,15890000000,9174000000.0,43275000000.0,Walmart,0000104169
2019-04-30,123925000000,4945000000,9255000000.0,47425000000.0,Walmart,0000104169
2019-07-31,254302000000,10528000000,9283000000.0,44404000000.0,Walmart,0000104169
2019-10-31,382293000000,15246000000,8606000000.0,44912000000.0,Walmart,0000104169
2020-04-30,134622000000,5224000000,14930000000.0,43006000000.0,Walmart,0000104169
2020-07-31,272364000000,11283000000,16906000000.0,40959000000.0,Walmart,0000104169
2020-10-31,407072000000,17061000000,14325000000.0,40849000000.0,Walmart,0000104169
2021-04-30,138310000000,6909000000,22846000000.0,40273000000.0,Walmart,0000104169
2021-07-31,279358000000,14263000000,22831000000.0,39581000000.0,Walmart,0000104169
2021-10-31,419883000000,20055000000,16111000000.0,36425000000.0,Walmart,0000104169
2022-04-30,141569000000,5318000000,11817000000.0,32174000000.0,Walmart,0000104169
2022-07-31,294428000000,12172000000,13923000000.0,29801000000.0,Walmart,0000104169
2022-10-31,447241000000,14867000000,11587000000.0,33935000000.0,Walmart,0000104169
