Date,BusinessUnit,Revenue,COGS,OperatingExpenses,TotalExpenses,OperatingProfit,AccountsReceivable,AccountsPayable,CashAndEquivalents,TotalDebt,NetCashFlow,BudgetRevenue,BudgetExpenses,GrossMarginPct,OperatingMarginPct,ReceivablesToRevenueRatio,CashBufferRatio,DebtToCashRatio,Revenue_Lag1,Revenue_Lag2,Expenses_Lag1,OperatingProfit_Lag1,OperatingMargin_Lag1,RevenueGrowthMoM,ExpenseGrowthMoM,OperatingProfitGrowthMoM,Rolling3M_AvgRev,Rolling3M_AvgExp,Target_NextPeriodHighRisk,AnomalyRaw,IsAnomaly,AnomalyScore,AnomalyReason,Actual_Revenue,Forecast_Revenue,Baseline_Revenue,Variance_Revenue,VariancePct_Revenue,Actual_TotalExpenses,Forecast_TotalExpenses,Baseline_TotalExpenses,Variance_TotalExpenses,VariancePct_TotalExpenses,Actual_OperatingProfit,Forecast_OperatingProfit,Baseline_OperatingProfit,Variance_OperatingProfit,VariancePct_OperatingProfit,Predicted_RiskProbPct,Predicted_RiskCategory,TopRiskDriver
2020-04-01,Cloud Services,765755.76,318563.6,256344.01,574907.61,190848.15,657866.56,220221.47,1568026.28,900000,57577.67,743693.0,557769.75,58.398798071071646,24.922848768385364,0.8591075566966679,2.727440466477736,0.5739699719828675,750237.79,720424.16,555741.09,194496.71,25.92467516199097,2.068406871373396,3.4488218245658286,-1.8758980550365068,716770.9266666668,568605.1699999999,1,1,0,-0.0896,Normal,,,,,,,,,,,,,,,,,Historical Record,N/A
2020-04-01,Enterprise Solutions,908518.99,393235.86,342160.41,735396.27,173122.72,726328.13,292525.83,1684165.29,900000,230400.48,907198.42,680398.82,56.71682547879379,19.05548721661833,0.7994638945301518,2.2901466307410017,0.5343893531970368,873927.35,931803.75,663020.24,210907.11,24.133254326003183,3.958182565175461,10.916111701205388,-17.915180763702075,879094.0966666667,684925.4633333333,1,1,0,-0.0571,Normal,,,,,,,,,,,,,,,,,Historical Record,N/A
2020-04-01,Retail & E-commerce,551830.58,250938.69,196219.99,447158.68,104671.9,454594.84,139742.16,1595279.04,900000,50735.84,561956.56,421467.42,54.52613553964334,18.96812242627076,0.8237942159711411,3.567590458045005,0.5641646241399875,551301.75,547452.7,443806.87,107494.87,19.498372715123796,0.0959238747201496,0.7552406748458029,-2.6261439266822677,545550.7366666667,436249.76666666666,0,1,0,-0.1549,Normal,,,,,,,,,,,,,,,,,Historical Record,N/A
2020-05-01,Cloud Services,723964.87,330652.74,286374.48,617027.22,106937.65,651881.15,204307.03,1738637.91,900000,170611.63,722672.07,542004.05,54.32751591938432,14.771110371695244,0.9004320195812816,2.817765332945928,0.5176465984225549,765755.76,750237.79,574907.61,190848.15,24.922848768385364,-5.457469885698285,7.326326746657608,-43.96715399127527,745472.57,576024.5599999999,1,1,0,-0.0862,Normal,,,,,,,,,,,,,,,,,Historical Record,N/A
2020-05-01,Enterprise Solutions,892150.93,423191.86,333014.23,756206.09,135944.84,686951.55,297884.16,1771404.6,900000,87239.31,878942.61,659206.95,52.56499256241318,15.237874604916904,0.769994769831154,2.34248920158789,0.5080713914822169,908518.99,873927.35,735396.27,173122.72,19.05548721661833,-1.8016200189717504,2.829742391812773,-21.47487054269942,904750.03,705631.36,0,1,0,-0.0909,Normal,,,,,,,,,,,,,,,,,Historical Record,N/A
2020-05-01,Retail & E-commerce,546236.29,242385.16,197661.66,440046.82,106189.47,488216.82,178855.96,1668006.51,900000,72727.47,542834.94,407126.2,55.62631695525027,19.440207826543343,0.8937832014053845,3.7905205405188473,0.5395662394626985,551830.58,551301.75,447158.68,104671.9,18.96812242627076,-1.0137694797558885,-1.590455540301705,1.4498351515545238,550195.0099999999,437039.8066666666,0,1,0,-0.1404,Normal,,,,,,,,,,,,,,,,,Historical Record,N/A
2020-06-01,Cloud Services,692317.96,322193.58,270098.65,592292.23,100025.73,575732.08,224349.16,1799986.04,900000,61348.13,689947.3,517460.47,53.46161754925439,14.447946720896857,0.8316006708824945,3.0390168042555614,0.5000038778078523,723964.87,765755.76,617027.22,106937.65,14.771110371695244,-4.371332271965079,-4.008735627578952,-6.463504668374509,746652.8066666666,582558.64,1,1,0,-0.1013,Normal,,,,,,,,,,,,,,,,,Historical Record,N/A
2020-06-01,Enterprise Solutions,795803.17,325632.27,315589.73,641222.0,154581.17,672700.02,189150.84,1950520.21,900000,179115.61,836653.86,627490.39,59.08130524285296,19.42454815805773,0.845309550601564,3.04187973899835,0.4614153677495092,892150.93,908518.99,756206.09,135944.84,15.237874604916904,-10.799491068176104,-15.205390636301274,13.708743928787603,891532.4233333333,718207.5333333333,1,-1,1,0.0204,Multivariate Outlier,,,,,,,,,,,,,,,,,Historical Record,N/A
2020-06-01,Retail & E-commerce,513393.69,221321.03,197561.68,418882.71,94510.98,405164.31,134161.91,1691462.66,900000,23456.15,515181.08,386385.81,56.89058235211267,18.409065370476213,0.789188332252389,4.038034083574373,0.5320838711272527,546236.29,551830.58,440046.82,106189.47,19.440207826543343,-6.012526190817535,-4.8095132240701055,-10.997785373634503,549789.54,443670.79,1,1,0,-0.132,Normal,,,,,,,,,,,,,,,,,Historical Record,N/A
2020-07-01,Cloud Services,643506.65,302282.54,257386.63,559669.18,83837.48,504653.33,177265.61,1889600.92,900000,89614.88,656333.07,492249.8,53.02573174651732,13.0282227852657,0.7842239547951836,3.3762818956727254,0.4762910466830213,692317.96,723964.87,592292.23,100025.73,14.447946720896857,-7.050417990022961,-5.507931447961079,-16.184085834714722,727346.1966666667,594742.3533333334,1,1,0,-0.0868,Normal,,,,,,,,,,,,,,,,,Historical Record,N/A
